GPU Devices:
[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
{'loss': 0.0017, 'grad_norm': 0.11505582183599472, 'learning_rate': 1.654184003698567e-05, 'epoch': 0.52}
{'loss': 0.0014, 'grad_norm': 0.6003463864326477, 'learning_rate': 1.6523347202958855e-05, 'epoch': 0.52}
{'loss': 0.0948, 'grad_norm': 0.037255723029375076, 'learning_rate': 1.650485436893204e-05, 'epoch': 0.52}
{'loss': 0.072, 'grad_norm': 0.042383287101984024, 'learning_rate': 1.6486361534905225e-05, 'epoch': 0.53}
{'loss': 0.0056, 'grad_norm': 10.148577690124512, 'learning_rate': 1.646786870087841e-05, 'epoch': 0.53}
{'loss': 0.0147, 'grad_norm': 0.00771687738597393, 'learning_rate': 1.6449375866851594e-05, 'epoch': 0.53}
{'loss': 0.0188, 'grad_norm': 0.10702875256538391, 'learning_rate': 1.6430883032824782e-05, 'epoch': 0.54}
{'loss': 0.0153, 'grad_norm': 0.006654036697000265, 'learning_rate': 1.6412390198797967e-05, 'epoch': 0.54}
{'loss': 0.0379, 'grad_norm': 36.4500617980957, 'learning_rate': 1.639389736477115e-05, 'epoch': 0.54}
{'loss': 0.0124, 'grad_norm': 11.798120498657227, 'learning_rate': 1.637540453074434e-05, 'epoch': 0.54}
{'loss': 0.0125, 'grad_norm': 0.007037225179374218, 'learning_rate': 1.6356911696717524e-05, 'epoch': 0.55}
{'loss': 0.0414, 'grad_norm': 0.044316910207271576, 'learning_rate': 1.633841886269071e-05, 'epoch': 0.55}
{'loss': 0.0291, 'grad_norm': 0.00508860033005476, 'learning_rate': 1.6319926028663894e-05, 'epoch': 0.55}
{'loss': 0.0727, 'grad_norm': 0.014459298923611641, 'learning_rate': 1.6301433194637078e-05, 'epoch': 0.55}
{'loss': 0.0361, 'grad_norm': 0.17870768904685974, 'learning_rate': 1.6282940360610263e-05, 'epoch': 0.56}
{'loss': 0.0485, 'grad_norm': 3.2749416828155518, 'learning_rate': 1.626444752658345e-05, 'epoch': 0.56}
{'loss': 0.0623, 'grad_norm': 0.07401764392852783, 'learning_rate': 1.6245954692556636e-05, 'epoch': 0.56}
{'loss': 0.0058, 'grad_norm': 29.354705810546875, 'learning_rate': 1.622746185852982e-05, 'epoch': 0.57}
{'loss': 0.0322, 'grad_norm': 0.01642601378262043, 'learning_rate': 1.620896902450301e-05, 'epoch': 0.57}
{'loss': 0.0006, 'grad_norm': 0.00847429409623146, 'learning_rate': 1.6190476190476193e-05, 'epoch': 0.57}
{'loss': 0.0302, 'grad_norm': 0.03379620984196663, 'learning_rate': 1.6171983356449378e-05, 'epoch': 0.57}
{'loss': 0.0929, 'grad_norm': 0.16737350821495056, 'learning_rate': 1.6153490522422562e-05, 'epoch': 0.58}
{'loss': 0.0422, 'grad_norm': 7.789114952087402, 'learning_rate': 1.6134997688395747e-05, 'epoch': 0.58}
{'loss': 0.0037, 'grad_norm': 0.09214862436056137, 'learning_rate': 1.6116504854368932e-05, 'epoch': 0.58}
{'loss': 0.0238, 'grad_norm': 5.650679111480713, 'learning_rate': 1.609801202034212e-05, 'epoch': 0.59}
{'loss': 0.0484, 'grad_norm': 0.011840024031698704, 'learning_rate': 1.6079519186315305e-05, 'epoch': 0.59}
{'loss': 0.0432, 'grad_norm': 1.8440676927566528, 'learning_rate': 1.606102635228849e-05, 'epoch': 0.59}
{'loss': 0.0533, 'grad_norm': 12.936300277709961, 'learning_rate': 1.6042533518261677e-05, 'epoch': 0.59}
{'loss': 0.0005, 'grad_norm': 0.005173786543309689, 'learning_rate': 1.6024040684234862e-05, 'epoch': 0.6}
{'loss': 0.0251, 'grad_norm': 0.029789999127388, 'learning_rate': 1.6005547850208047e-05, 'epoch': 0.6}
